date,id,transect,num,canopy,gps_id,note,surveyor
2022-08-31,DSCN6522.JPG,T1,24,M,56,,"ac, mh"
2022-08-31,DSCN6523.JPG,T1,25,E,57,,"ac, mh"
2022-08-31,DSCN6523.JPG,T1,25,M,58,,"ac, mh"
2022-08-31,DSCN6524.JPG,T1,26,E,59,,"ac, mh"
2022-08-31,DSCN6524.JPG,T1,26,M,60,,"ac, mh"
2022-08-31,DSCN6525.JPG,T1,27,O,61,,"ac, mh"
2022-08-31,DSCN6526.JPG,T1,28,E,62,,"ac, mh"
2022-08-31,DSCN6526.JPG,T1,28,M,63,,"ac, mh"
2022-08-31,DSCN6527.JPG,T1,29,O,64,,"ac, mh"
2022-08-31,DSCN6528.JPG,T1,30,O,65,,"ac, mh"
2022-08-31,DSCN6529.JPG,T2,1,E,66,,"ac, mh"
2022-08-31,DSCN6529.JPG,T2,1,M,67,,"ac, mh"
2022-08-31,DSCN6530.JPG,T2,2,O,68,,"ac, mh"
2022-08-31,DSCN6531.JPG,T2,3,E,69,,"ac, mh"
2022-08-31,DSCN6531.JPG,T2,3,M,70,,"ac, mh"
2022-08-31,DSCN6532.JPG,T2,4,O,71,,"ac, mh"
2022-08-31,DSCN6533.JPG,T2,5,O,72,,"ac, mh"
2022-08-31,DSCN6534.JPG,T2,6,O,73,,"ac, mh"
2022-08-31,DSCN6535.JPG,T2,7,E,74,,"ac, mh"
2022-08-31,DSCN6535.JPG,T2,7,M,75,,"ac, mh"
2022-08-31,DSCN6536.JPG,T2,8,E,76,,"ac, mh"
2022-08-31,DSCN6536.JPG,T2,8,M,77,,"ac, mh"
2022-08-31,DSCN6537.JPG,T2,9,E,78,,"ac, mh"
2022-08-31,DSCN6537.JPG,T2,9,M,79,,"ac, mh"
2022-08-31,DSCN6538.JPG,T2,10,E,80,,"ac, mh"
2022-08-31,DSCN6538.JPG,T2,10,M,81,,"ac, mh"
2022-08-31,DSCN6539.JPG,T2,11,O,82,,"ac, mh"
2022-08-31,DSCN6540.JPG,T2,12,E,83,,"ac, mh"
2022-08-31,DSCN6540.JPG,T2,12,M,84,,"ac, mh"
2022-08-31,DSCN6541.JPG,T2,13,O,85,,"ac, mh"
2022-08-31,DSCN6542.JPG,T2,14,E,86,,"ac, mh"
2022-08-31,DSCN6542.JPG,T2,14,M,87,,"ac, mh"
2022-08-31,DSCN6543.JPG,T2,15,O,88,,"ac, mh"
2022-08-31,DSCN6544.JPG,T2,17,E,89,,"ac, mh"
2022-08-31,DSCN6544.JPG,T2,17,M,90,,"ac, mh"
2022-08-31,DSCN6545.JPG,T2,18,O,91,,"ac, mh"
2022-08-31,DSCN6546.JPG,T2,16,O,92,,"ac, mh"
2022-08-31,DSCN6547.JPG,T2,19,O,93,,"ac, mh"
2022-08-31,DSCN6548.JPG,T2,20,E,94,,"ac, mh"
2022-08-31,DSCN6548.JPG,T2,20,M,95,,"ac, mh"
2022-08-31,DSCN6549.JPG,T2,21,O,96,,"ac, mh"
2022-08-31,DSCN6550.JPG,T2,24,O,97,,"ac, mh"
2022-08-31,DSCN6551.JPG,T2,25,E,98,,"ac, mh"
2022-08-31,DSCN6551.JPG,T2,25,M,99,,"ac, mh"
2022-08-31,DSCN6552.JPG,T2,26,E,100,,"ac, mh"
2022-08-31,DSCN6552.JPG,T2,26,M,101,,"ac, mh"
2022-08-31,DSCN6553.JPG,T2,27,E,102,,"ac, mh"
2022-08-31,DSCN6553.JPG,T2,27,M,103,,"ac, mh"
2022-08-31,DSCN6554.JPG,T2,29,E,104,,"ac, mh"
2022-08-31,DSCN6554.JPG,T2,29,M,105,,"ac, mh"
2022-08-31,DSCN6555.JPG,T2,30,O,106,,"ac, mh"
2022-08-31,DSCN6556.JPG,T2,28,M,107,,"ac, mh"
2022-08-31,DSCN6557.JPG,T2,31,E,108,,"ac, mh"
2022-08-31,DSCN6557.JPG,T2,31,M,109,,"ac, mh"
2022-08-31,DSCN6558.JPG,T2,32,E,110,,"ac, mh"
2022-08-31,DSCN6558.JPG,T2,32,M,111,,"ac, mh"
